Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,sentiment_score,sentiment_label
1134,Daniel,5.0,bought galaxy s4 expand storage capacity worked great. fast transfer speed well.,2014-02-16,295,0,0,0,0,0.0,0.0,0.8176,pos
1135,daniel,5.0,"card great. really fast compared common card even sandisk, kingston, need copy file card time, right reliable, never missed photo music star well",2013-04-10,607,0,0,0,0,0.0,0.0,0.7957,pos
1136,"Daniel J. Farren Jr. ""ordinary guy""",5.0,got handheld gps. store data already stored main memory.,2014-05-07,215,0,0,0,0,0.0,0.0,0.0,neg
1137,Daniel Kang,5.0,microsd card described others sandisk themselves. fast transfer awesome price it. got samsung galaxy s3 love it!,2013-04-01,616,0,0,0,0,0.0,0.0,0.8622,pos
1138,Daniel Kowalec,5.0,"best amount space price quality product work without using galaxy 3, 4 & currently note iii.",2014-12-05,3,0,0,0,0,0.0,0.0,0.6369,pos
1139,"Daniel K. Yeo ""gadget buster""",1.0,"great review card, picked samsung galaxy iii. popped card, happy taking pictures, saving files, living forward two month later, card stop functioning. phone read more. computer read either. submitted sandisk. hopefully get replacement actually goodness saved photo",2012-12-23,715,2,0,2,2,1.0,0.3423802275066531,0.9337,pos
1140,Daniel L Poole,5.0,"needed load video file moto xoom. good capacity, inexpensive pricing, worked like charm.",2013-11-13,390,0,0,0,0,0.0,0.0,0.7964,pos
1141,"Daniel Morrow ""value vulture""",5.0,"love product! would recommend product anyone, gave 5 5 star everything need plus more!",2014-04-05,247,0,0,0,0,0.0,0.0,0.8065,pos
1142,Daniel Pham(Danpham_X @ yahoo.  com),5.0,"soon saw card various tech site there, knew buy one. went amazon picked one steep price compared 64gb cards, largest capacity available. want swapping micro sd cards. inconvenient. various speed test card confirm get read speed. fastest saw little write speed varied greatly seemed larger file got. minimum write speed saw 10 mb/s. use samsung galaxy note 3 issue it.",2014-02-04,307,5,0,5,5,1.0,0.5655175352168252,-0.1027,neg
1143,"Daniel R. Bissell ""classics lover""",5.0,year adapter camera laptop 4-5 month without continue use sandisk,2014-02-27,284,0,0,0,0,0.0,0.0,0.0,neg
1144,Daniel R. Escobar,5.0,use card slr. work fantastic allows use burst mode full capacity tried samsung mp3 player work randomly show data need reboot fix. fairness could device software can't star that.,2013-04-18,599,0,0,0,0,0.0,0.0,0.5574,pos
1145,"Daniel Rivero "".:DRH:.""",5.0,"bought two laptop camera they're working great far, good speed. 100% happy purchase.",2012-12-29,709,0,0,0,0,0.0,0.0,0.8934,pos
1146,"Daniel R. Olivas ""thunderdan602""",5.0,"work perfectly verizon wireless samsung galaxy note 2. popped in, way need format plenty room video's, photo's, movies.",2013-12-03,370,0,0,0,0,0.0,0.0,0.6369,pos
1147,Daniel S.,5.0,"again, expect nothing less. compact flash sd card sandisk brand extremely reliable.",2014-01-20,322,0,0,0,0,0.0,0.0,0.0,neg
1148,Daniel Vinas,5.0,e una la de lo son. la para de e muy recognized brand quality product too. speed high definition highly recommended.,2013-05-14,573,0,0,0,0,0.0,0.0,0.2716,pos
1149,danmartin,5.0,"use card tablet, problems, fast. excellent product highly needed tablet. right amount memory right price",2014-08-04,126,0,0,0,0,0.0,0.0,0.25,pos
1150,danniboyv,5.0,one best memory card there! look forward purchasing item again! get 64,2013-02-03,673,0,0,0,0,0.0,0.0,0.6988,pos
1151,Danny,2.0,"bought card galaxy s4 installing loading music, card randomly ejecting itself. like 3rd ejection morning, phone reported card needed reformatted damaged, reformatted. random sdcard ejection damaged card kept coming up. read galaxy series phone known compatibility issue sandisk card hit miss, phone issues. replaced card already, amazon, shipped 2nd card within days, problem arise. sure switch different brand, card definitely useless time maybe give away friend s4. :/",2014-04-18,234,0,0,0,0,0.0,0.0,-0.4404,neg
1152,Danny,5.0,good sd card good job purchased mine 64gb note 2 highly recommend try,2013-08-03,492,0,0,0,0,0.0,0.0,0.8221,pos
1153,Danny H.,5.0,got sale list already paid itself. i'm glad able memory tablet happy come sd card adaptor transfer picture straight camera table.,2013-11-17,386,0,0,0,0,0.0,0.0,0.8225,pos
1154,"Danny Newport ""......Danny""",5.0,"like work transformer tablet supply plenty space play, listen want.",2014-01-27,315,0,0,0,0,0.0,0.0,0.6369,pos
1155,Danny Nice,5.0,"wife's macbook air ssd got full, dropped one mount sd adaptor (also via amazon) set second drive itunes collection. got plenty room pic",2014-07-13,148,0,0,0,0,0.0,0.0,0.0,neg
1156,Danny V. Drew,5.0,"going add storage android tablet, one you. recommend ssd card.",2013-05-29,558,0,0,0,0,0.0,0.0,0.3612,pos
1157,Danny V.,5.0,great picture music. came secure package lot storage files. reasonably priced also.,2013-07-14,512,0,0,0,0,0.0,0.0,0.7579,pos
1158,Dan-O,4.0,love extra storage card give me. transfer speed card slower would like play back hd video without,2014-12-06,2,0,0,0,0,0.0,0.0,0.8442,pos
1159,Dan P.,4.0,"got great price worked great, little upset tiny size packaging almost didnt even see arrived cardboard envelope",2013-03-26,622,0,0,0,0,0.0,0.0,0.7841,pos
1160,Dan Robbins,5.0,came reasonable amount time exactly ordered. pretty sound. reliable memory card worked failed.,2014-01-13,329,0,0,0,0,0.0,0.0,-0.0258,neg
1161,Dan Sangiorgio,5.0,"32gb storage, suppose work perfectly fine verizon galaxy s4",2013-03-06,642,0,0,0,0,0.0,0.0,0.7184,pos
1162,Dan Shaw,5.0,"storage new phone. recognized, formatted available le minute. simple!",2013-10-25,409,0,0,0,0,0.0,0.0,0.0,neg
1163,Dan Terry,5.0,arrived timely manner supposed do. pretty cute serf purpose.,2013-10-08,426,0,0,0,0,0.0,0.0,0.7351,pos
1164,Dante Russell,5.0,"32 gb sd card work well, price reasonable, happy purchase far! worth",2014-04-01,251,0,1,1,-1,0.0,0.0,0.7901,pos
1165,dantheman,5.0,"need item find local store. impressed received it, worked like champ able store many thing card.",2013-07-02,524,0,0,0,0,0.0,0.0,0.8271,pos
1166,Dan The Man,5.0,sure 64 gig would work galaxy work - job!,2013-06-16,540,0,0,0,0,0.0,0.0,0.3802,pos
1167,Dao,5.0,"awesome product. worth buying. cheap lot memory, mention fast",2013-10-02,432,0,0,0,0,0.0,0.0,0.7184,pos
1168,Dao Vang,5.0,"sd card everything fast huge much space, first taking picture videos, phone even show limit was. basically limit many picture video space max.",2013-07-20,506,0,0,0,0,0.0,0.0,0.3182,pos
1169,Darby,5.0,"product: sandisk ultra 64 gb microsdxc class 10 uhs-1 memory card 30mb/s adapter 5/5 buy microsd card 4 primary storage capacity, (2) price, (3) (4) speed. bought back feb 2013 (not long largest fastest microsd available time, good price backed sandisk me, galaxy s3 currently android card slam four today slammed 30+gb mp3's pc onto s3's card. card handled massive data dump grace i'm able use phone stream entire music library new satisfied.",2014-02-01,310,0,0,0,0,0.0,0.0,0.5267,pos
1170,Dare to satisfy me,5.0,say work promised needed new cell phone need,2013-11-06,397,0,0,0,0,0.0,0.0,0.3612,pos
1171,Darian K Chun,5.0,love it. problems. hiccup trying access data writing data phone.,2014-03-02,281,0,0,0,0,0.0,0.0,0.3612,pos
1172,DaRkTrAzZ,5.0,"problem it, access time actually bit slower phone memory. read pretty good.",2013-01-05,702,0,0,0,0,0.0,0.0,0.5267,pos
1173,Darrell,3.0,i've item 12 months. i've always minor problems. recently started freezing rebooting devices. 2 currently s4. sandisk sending new one.,2013-12-17,356,0,0,0,0,0.0,0.0,-0.4767,neg
1174,Darrell Tony Brown Jr,5.0,"card exactly seems be. fast, priced well. much could ask for.",2014-01-13,329,0,0,0,0,0.0,0.0,0.2732,pos
1175,Darren,5.0,"put hp envy x2 extend storage, stay inside unit time. work hard drive. work advertised",2014-12-03,5,0,0,0,0,0.0,0.0,-0.2023,neg
1176,darren,1.0,"still card went bad 2 week it, lost ton music data ect lost faith sandisk products. tried get replaced money back return email seller, unhappy lost data. wish would reply seller amazon still dead sdcard file stuck it.",2013-08-30,465,1,0,1,1,1.0,0.2065493143772374,-0.9062,neg
1177,Darren S Dale,5.0,"purchased two microsdxc card sale around black friday, using two months. work wonderfully absolutely problem either. sandisk memory card 64 gb microsdxc class 10, uhs-1 cards, rated transfer speed uhs class 1 designation intended performance measure indicates card capable supporting real-time full hd video recording. course, work using device capable writing card speeds, modern device offer full hd recording, camcorders, digital slr cameras, cell phone built full hd recording support standard. benefit using uhs-1 card uhs certified device encounter problem buffering device recording could write fast extra high capacity, sdxc cards, need make sure device support microsdxc cards, simply microsd microsdhc ones. biggest difference microsdxc standard us exfat file system, rather fat32 ntfs systems. modern android device (and fact devices) handle without difficulty devices, older cameras, android devices, window devices, may difficulty said that, i've using nikon d80 & digital slr cameras, well samsung galaxy s3 galaxy relay 4g phone without read & write fine computers. great buy i'm happy them.",2014-01-23,319,0,0,0,0,0.0,0.0,0.98,pos
1178,Darthvagrant,5.0,"packaging secure, product absolutely legitimate sandisk gb available 32gb amazon come work fine two received working perfectly. loss 2.3 data added formatting chip. legitimate 10 speed. good best!",2013-07-09,517,0,0,0,0,0.0,0.0,0.9348,pos
1179,Daryl Banbury,5.0,quality 64gb micro sd memory card. supposed do. would recommend one.,2013-04-23,594,0,0,0,0,0.0,0.0,0.3612,pos
1180,Daryl,5.0,"purchased galaxy tab 10.1 like - returned tablet (and accidently left memory card it). second one i've purchased, use asus entirely satisfied.",2014-04-03,249,0,0,0,0,0.0,0.0,0.6801,pos
1181,Daryl,5.0,"bought card 32gb sandisk ultra stopped working galaxy s3. tried formatting card, work. card showed up, read warranty information, ultra series lifetime emailed company, sent shipping label return card, new highly recommend cards!",2013-02-05,671,1,0,1,1,1.0,0.2065493143772374,0.2926,pos
1182,dattaway,5.0,found write bandwidth card transferring steady stream dozen included full sized sdcard adapter appears slightly faster usb adapter. tested onto card. read bandwidth appears mb/sec.,2014-09-06,93,1,0,1,1,1.0,0.2065493143772374,0.0,neg
1183,Dave Carlson,5.0,"expected, sandisk delivered card. fast transfer lot data use up. bought galaxy 3 work great.",2013-05-24,563,0,0,0,0,0.0,0.0,0.6249,pos
1184,Dave C,5.0,"love 64gb capacity, compatible devices. one go pro hero3 one samsung galaxy 7&#34; tablet.",2014-02-20,291,0,0,0,0,0.0,0.0,0.6369,pos
1185,"Dave CR ""Dave""",5.0,card samsung galaxy 8 month one issue phone design itself. would phone moved around seems pop easy samsung galaxy phones. solved problem putting hold in. far 8 month give amount storage phone. wondering samsung phone take card - issues. show total gb available space installed. must since phone come 8 gb internal memory nowadays.,2014-02-01,310,0,0,0,0,0.0,0.0,0.3182,pos
1186,"Dave ""Dave""",5.0,"bought gopro hero3. in, work great, keep camera. awesome cheap. great smartphones well!",2013-01-16,691,0,0,0,0,0.0,0.0,0.9402,pos
1187,"Dave ""Dave""",4.0,"fast, big. wish bit le cash could buy storage needs.",2014-09-06,93,0,0,0,0,0.0,0.0,0.4019,pos
1188,"Dave & Dessa ""Addictive""",3.0,work s2 skyrocket work xoom. odd suffer it. seems class 4. get sandisk unless ton cheaper. 1 stolen suck,2014-07-07,154,0,0,0,0,0.0,0.0,-0.8979,neg
1189,Dave Drury,5.0,"bought similar transcend premium 32 gb microsdhc class 10 uhs couple dash work well cameras. key need card compliant uhs 1 better. look u 1 3 inside card cameras. transcend rated slightly faster camera seem like either equally well. purchased transcend sandisk within penny other, aside slight price speed there's much recommend one other. long get least uhs 1 card, said manufacturer kingston, others.",2014-12-06,2,0,0,0,0,0.0,0.0,0.8779,pos
1190,"Dave Fowler ""fowlerne""",5.0,bought add memory phone. problem installing work great. know could ask anything more.,2013-03-28,620,0,0,0,0,0.0,0.0,0.34,pos
1191,Dave,3.0,"gave 4 star know problem card phone. intermittant problem phone stop recognizing it. fast, hold lot. would recommend intermittant issue phone (galaxy s3). finally gave ghost completely, computer recognize all. think important data it. would take sandisk, another reviewer indicated replaced issue phone, computer can't even recognize wipe i'm sending anywhere.",2013-03-05,643,0,0,0,0,0.0,0.0,-0.6808,neg
1192,Dave Junia Lum,5.0,"bought price low. excellent value. good transfer speed worked phone, camera device well.",2013-07-18,508,0,0,0,0,0.0,0.0,0.8402,pos
1193,Dave P,5.0,use local backup (i 2 i've problem systems.,2013-04-15,602,0,0,0,0,0.0,0.0,-0.4019,neg
1194,Dave S,5.0,added samsung note 80 gig storage. everything phone used capacity.,2012-12-25,713,0,0,0,0,0.0,0.0,0.0,neg
1195,"Dave ""Sonic""",5.0,"great card, great really beat sandisk. brand never let well use mobius action camera work also worked well gopro hero3+ silver.",2014-10-07,62,0,0,0,0,0.0,0.0,0.763,pos
1196,Dave Spangler,5.0,quick initial test multiple setting 1080 4k recording done long recording field use warm yet.,2014-02-21,290,0,0,0,0,0.0,0.0,0.2263,pos
1197,Dave Thelwell jr,5.0,"fast sd card, really use emulator nvidia shield job right. complaint everything order would recommend.",2014-09-04,95,0,0,0,0,0.0,0.0,0.0772,pos
1198,"Davey B. ""Gadget Geek""",5.0,"bought card several device use microsd cards, compatible newer sdxc standard. sdhc memory cards, 32gb largest size available technology standard, went one sandisk. way worry compatibility issue devices. i've used sandisk memory product number year along many brands, i've always good result them. i'm happy say experience card amazon rock steady, reliable larger file transfer (several movie performed quickly i'd hoped class 10 card regard read/write existing review previous experience sandisk products, also picked particular card due uhs-1 currently uhs-1 device take advantage increased speed, negligible cost difference, made sense. standard technology update fast product provide extend usable life always",2013-11-21,382,1,0,1,1,1.0,0.2065493143772374,0.9022,pos
1199,daveyboy7,5.0,work perfectly samsung. phone usb 2 know really need fast mem chip. get lot stuff 32 gb. use movie want waste data streaming cloud.,2014-04-28,224,0,0,0,0,0.0,0.0,0.4019,pos
1200,David A. Thomas,4.0,"got galaxy note 3, accepts add storage. work perfectly, use store music file dont junk phone memory.",2013-10-31,403,0,0,0,0,0.0,0.0,0.7579,pos
1201,david bailey,5.0,"needed room phone picked card up. popped let phone format it, work fine. spec say phone max 32 gb card that's true. really glad got card, fast taking photo's burst mode move every missing photo's due slow card.",2012-12-12,726,1,0,1,1,1.0,0.2065493143772374,0.6901,pos
1202,DavidB,5.0,sandisk good brand worked. cant really ask much that!,2013-09-19,445,0,0,0,0,0.0,0.0,0.4926,pos
1203,David B. Horvath,5.0,"problem using chip reader built laptop. seemed want format 32gb. plugged phone, could format 64 gb laptop reader saw used usb reader, laptop could read fine.i able copy 4gb data old microsd chip problem yet.",2013-07-26,500,0,0,0,0,0.0,0.0,-0.6249,neg
1204,David Crumpton,5.0,far good - boost table storage big time - keep pic music time - price awesome,2013-06-24,532,0,0,0,0,0.0,0.0,0.8658,pos
1205,"David Cummings ""indian1301""",5.0,"use camera worked initially, would create bad image file none picture took would remain. went camera options, reformatted card, worked perfect ever since far 1000 pictures.",2013-08-17,478,0,0,0,0,0.0,0.0,0.3182,pos
1206,"David ""Dave""",2.0,"called &#34;class ordered it, figuring would useable speed. plugged copy 9gb program installation files. totally took 3 hour copy file onto &#34;ultra&#34; &#34;class 10&#34; sdxc card. plastic usb thumb drive take le 10 tested various known computer typical raw picture files. read speed ranged write speed ranged big files, small files. would call unusable. disappointing.",2013-03-28,620,0,0,0,0,0.0,0.0,-0.4939,neg
1207,David Debaeremaeker,4.0,"memory card exactly advertised. class 10 nice fast. card heavy use since bought it, i've issue it.",2013-11-30,373,0,0,0,0,0.0,0.0,0.4215,pos
1208,David Dee,2.0,"excited add memory card finally worry used memory anymore. short lived however maybe month passed memory card refused write anymore data. tried formatting could wipe it), using thumb drive reader delete data), avail. luckily data still",2013-08-13,482,0,0,0,0,0.0,0.0,0.1531,pos
1209,David D. Gali II,5.0,"hey, memory. everybody need it, never i'm always losing memory, keep plenty hand away day.",2013-09-22,442,0,0,0,0,0.0,0.0,0.658,pos
1210,David Drager,5.0,bought gopro camera work lag space recording high quality (not gopro need memory card. use one.,2013-12-30,343,0,0,0,0,0.0,0.0,-0.34,neg
1211,"David D. Ruybal ""D. Ruybal""",5.0,needed space medium card work perfectly. read writes fast hold lot movie watch travelling.,2013-12-30,343,0,0,0,0,0.0,0.0,0.6369,pos
1212,David,5.0,got time simple secure packaging. inserted worked without issues. come clear plastic case sd adapter. typical sd case size.the sale price change great it!,2013-12-14,359,0,0,0,0,0.0,0.0,0.6816,pos
1213,David,4.0,good capacity speed slow almost acceptable me. like it.,2013-10-21,413,0,0,0,0,0.0,0.0,0.7305,pos
1214,David,5.0,"put music many movie ton room more. awesome well priced, time purchase anyhow.",2013-01-30,677,0,0,0,0,0.0,0.0,0.7764,pos
1215,David,5.0,"great price card, cheap made. save several buying form amazon, local store lot",2014-05-06,216,0,0,0,0,0.0,0.0,0.8402,pos
1216,David,5.0,"use galaxy s3, note 8.0 note 10.1. never problem. i'll continue buy get new devices. never tried 64g one.",2013-12-18,355,0,0,0,0,0.0,0.0,0.3089,pos
1217,David,5.0,"using galaxy note 2, work great movies, music apps, issue ever.",2013-01-23,684,0,0,0,0,0.0,0.0,0.6249,pos
1218,David,4.0,"work samsung galaxy note 3, really stress kind things. problems. checked heat thing.",2014-03-18,265,0,0,0,0,0.0,0.0,-0.2766,neg
1219,David,5.0,phone recognized immediately fast taking used slow. fast taking put galaxy note ii.,2013-02-17,659,1,0,1,1,1.0,0.2065493143772374,0.0,neg
1220,David,5.0,"buy memory card, looking for? additional storage, higher transfer rates, good prices. card often amazon's lightning deal second one use nokia phone camera. storing photo need speedy drive, one really work additional space also great storage! second one bought laptop, stay ssd laptop 80gb internal drive. would definitely install window it, laptop boot memory space? problem 64gb currently max faster transfer microsd card, fast get (and get faster, it'll cost lot well, wait lightning deal much, current price really sd adapter work perfectly! including little lock switch make read want.",2012-11-24,744,1,0,1,1,1.0,0.2065493143772374,0.9387,pos
1221,David,5.0,"worked perfect, 59gb usable case memory item ever with.",2013-12-12,361,1,0,1,1,1.0,0.2065493143772374,0.5719,pos
1222,"David ""here.david""",5.0,need right equipment use access these. newer equipment clearly state use work,2013-04-29,588,0,0,0,0,0.0,0.0,0.4019,pos
1223,"David Hocutt ""Tech GERD""",5.0,"sandisk reliable name storage. micro sd card exception. lot storage good price, must tablet cell phone limited on-board memory.",2014-06-03,188,0,0,0,0,0.0,0.0,0.25,pos
1224,"David Holmes ""Dave""",5.0,advertised. good write read speed work well new microsoft surface. complaint significant price drop purchased card. that's amazon fault product.,2012-11-30,738,0,0,0,0,0.0,0.0,0.128,pos
1225,David Jashi,5.0,"class 6 card samsung galaxy note. class 6 card minor speed issues, one gone.",2012-10-11,788,0,0,0,0,0.0,0.0,0.0,neg
1226,David Johnson,5.0,say all! u go wrong? & price better looking for. u read past review hope helped purchase nothing base decision on.,2013-10-26,408,0,0,0,0,0.0,0.0,0.4574,pos
1227,"David J. Thompson ""Shop Geek""",5.0,excellent card. currently installed samsung gs3 work flawlessly. highly recommended make sure phone/device handle like card 16gb.,2013-11-12,391,0,0,0,0,0.0,0.0,0.8923,pos
1228,David Knisley,5.0,necessary addition gopro mini hd camera. pleased service advertised. repeat customer sure look forward adding video & photography collection accessories.,2014-04-01,251,0,0,0,0,0.0,0.0,0.6369,pos
1229,"davidlewis7 ""davidlewis7""",5.0,"microsd serf purpose every way. need another, certainly buy another one these.",2014-05-19,203,0,0,0,0,0.0,0.0,0.34,pos
1230,"David L. Simmons ""dlsimm""",5.0,fantastic discount value name brand product would cost three time amount paid,2013-04-02,615,0,0,0,0,0.0,0.0,0.7184,pos
1231,David M. Arrington,5.0,super fast transfer speed. impressed price well. i'll getting another doubt. two words.,2013-04-18,599,0,0,0,0,0.0,0.0,0.765,pos
1232,David Maxey,5.0,"waiting microsds reach 64gb capacity, affordable price. found it! package arrived worked advertised, happy customer.",2012-11-30,738,0,0,0,0,0.0,0.0,0.6239,pos
1233,David McCleary,5.0,say memory card okay fast compatible good quality perfect perfect perfect perfect,2014-09-03,96,0,0,0,0,0.0,0.0,0.9618,pos
1234,David McCutcheon,5.0,always good luck sandisk memory cards. one exception. fast work great galaxy s4 never problem purchased.,2013-10-22,412,0,0,0,0,0.0,0.0,0.9054,pos
1235,"David O. Brown ""David O. Brown""",2.0,"took 6 day get 2 card made order early get product next six day slowest shipping i've paid prime account since need card quickly, buy different seller.",2013-10-23,411,0,2,2,-2,0.0,0.0,0.0,neg
1236,David Omalley,5.0,"class 10 micro sd card worked flawlessly, adapter also worked well, part small sometimes hard handle. worked great overall. good performance.",2014-02-17,294,0,0,0,0,0.0,0.0,0.8591,pos
1237,David Osahon,4.0,"first one received died le 2 months. stopped reading card), sandisk customer service excellent replaced it. speed. transfer phone pc (usb impressive opinion, slow, bottleneck could phone,",2012-12-23,715,0,0,0,0,0.0,0.0,0.3612,pos
1238,David P.,1.0,"card longer readable three different phone six month light usage (very picture saved card), never taken phone showed sign death caused handling card).",2012-12-12,726,0,0,0,0,0.0,0.0,-0.2732,neg
1239,DAVID R HARVILLE,5.0,"worked fine, problem decided move 64 gig ordered one. moved one usb drive have.",2013-02-08,668,0,0,0,0,0.0,0.0,-0.2263,neg
1240,David Rios,5.0,"bought card got note 2 back october, perfect fast. problem way fully compatible bought second card note 3 excellent. frustration free packaging much appreciated packing last year. first original card got corrupted put old feature phone confident nothing card way. tested card galaxy note 2, note 3, note 10.1 2014 tab 3 7"" read card problem. extremely satisfied far.",2013-03-04,644,0,0,0,0,0.0,0.0,0.9336,pos
1241,davidst95,4.0,able use microsd card samsung galaxy s3. format phone. reason 5 star fast expensive versions.,2012-05-10,942,0,0,0,0,0.0,0.0,0.0,neg
1242,"David S. Winokur ""Photographer, Luthier""",5.0,"got phone. first work, new version android able format card phone computer use it. able load music collection bunch book card, put phone use immediately.",2012-11-22,746,2,0,2,2,1.0,0.3423802275066531,0.0,neg
1243,"David Traver Adolphus ""Debonair man-about-town""",5.0,"per other's instructions, inserted phone let phone format removed phone copied old card onto card reader pc (plus 20 movies) everything working perfectly. speed seem copying 3gb hd movie copied blu-ray disc took minutes, even usb",2012-10-29,770,0,0,0,0,0.0,0.0,0.6369,pos
1244,David Trawick,5.0,great price product. class name brand. way cheaper wireless lifetime warranty. too.,2014-05-15,207,0,0,0,0,0.0,0.0,0.6249,pos
1245,David W Bradford,5.0,work great fast.,2014-06-26,165,0,0,0,0,0.0,0.0,0.6249,pos
1246,David Wilson,5.0,"recently upgraded nearly htc window phone samsung galaxy s4 decided give huge memory boost. card filled bill perfectly. add good file manager app collection use aside, would upgraded another window phone number doesn't, lost android.",2013-09-16,448,0,0,0,0,0.0,0.0,0.924,pos
1247,Davivascaino,1.0,piece 3rd card 3 months. buy crap,2013-10-03,431,1,1,2,0,0.5,0.0945312057342307,-0.3818,neg
1248,Dawn,5.0,"picked sd card add memory phone. work great transfer data quickly. market new sd card, highly advise buy one.",2013-09-19,445,0,0,0,0,0.0,0.0,0.6249,pos
1249,Dawn,1.0,"although amazon claim c10 ultra fast memory card, actually much slower write speed c10 microsd card (it 60% normal example, tested old c10 hc microsd card. test done writing random data empty microsd card usb3 card reader. resulting time average value 3 test ultra 32gb mean c10 mean speed completely unacceptable class-10 claim lower 10mb/s, lowest class-10 even sd card speed common 30mb/s actual almost scam. class-6 card beat card.",2013-10-12,422,1,0,1,1,1.0,0.2065493143772374,-0.8481,neg
1250,Dawn of Poets,5.0,work give much room music samsung galaxy also able use future phone another,2014-03-04,279,0,0,0,0,0.0,0.0,0.0,neg
1251,Dayne Putnam,5.0,"work great model dashcam blackvue work wonder constantly dash cam,",2013-02-18,658,0,0,0,0,0.0,0.0,0.6249,pos
1252,D. Babin,5.0,issue getting card recognized nvidia issue one. read write speed seem good happy card far.,2013-12-31,342,0,0,0,0,0.0,0.0,0.765,pos
1253,DB BluBlock Productions,5.0,use htc work like champ. perfect high definition video music smart phone. transfer rate impressive price right,2013-01-26,681,0,0,0,0,0.0,0.0,0.936,pos
1254,"DBChas ""DBChas""",4.0,"work fine, sandisk usually does. know there's lot transfer rate i'm fine rate fast slow. really long hold keep data transfer it. card seem same. sandisk big name usually stick it. make good.",2013-12-18,355,0,0,0,0,0.0,0.0,0.6705,pos
1255,"DB ""DB""",5.0,shipped fast. work store video much faster older memory card. price good deal.,2013-12-11,362,0,0,0,0,0.0,0.0,0.4404,pos
1256,D. Berkowitz,5.0,"havent done speed tests, sits tablet let store music easy. fast enough stream hd video from.",2014-02-05,306,0,0,0,0,0.0,0.0,0.4404,pos
1257,D. Blackman,4.0,"complaint matched description, delivered time work well. would easily recommend anyone looking memory mobile device etc",2013-10-25,409,0,0,0,0,0.0,0.0,0.5859,pos
1258,"D. Brletich ""db""",5.0,work advertised samsung smartphone. got one samsung gs3 too. sandisk simply reliable micro sd flash memory there.,2014-03-19,264,1,0,1,1,1.0,0.2065493143772374,0.0,neg
1259,D. Burke,4.0,"card 3 month galaxy 4 suddenly went read mode. data still able copy card could write format card. searched internet high low solution finally contacted sandisk support. explaining problem, said need replaced would covered warranty. replacement process took two weeks, paid return shipping. 2nd card running 2 week see happened get bad one quality.",2013-08-29,466,0,0,0,0,0.0,0.0,-0.5106,neg
1260,dca74,5.0,"good information photo storage small device, 2 far different computer great.",2014-03-13,270,0,0,0,0,0.0,0.0,0.7906,pos
1261,D. Cahill,4.0,wanted extra space new mobile device chose sandisk microsd card. card worked perfect far htc one m8 several week far. performance copying file computer phone adequate. performance likely limited phone's usb 2.0 interface done test card connected dedicated sd card reader.,2014-05-05,217,2,0,2,2,1.0,0.3423802275066531,0.8442,pos
1262,"DC ""David Ceremuga""",5.0,exactly described work great surface excellent product! never lost data one.,2014-05-18,204,0,0,0,0,0.0,0.0,0.8766,pos
1263,D. Clark,4.0,"good size card great price. complaint adapter card. little end micro card almost adapter card slot very, way could get micro card needle nose take utility knife opening adapter card could actually slide ease.",2013-01-01,706,0,0,0,0,0.0,0.0,0.8074,pos
1264,DCLW,5.0,work great phone issue installing it.great price work well price,2013-07-17,509,0,0,0,0,0.0,0.0,0.7351,pos
1265,DCM,5.0,received protective package within delivery schedule provided provided adapter used. memory card inserted garmin 5000 series gps. fit good. work good. test actual card speed.,2014-01-01,341,0,0,0,0,0.0,0.0,0.8074,pos
1266,D. Combellick,5.0,"little gray one missing. hold short 32gb data, transfer short 30mb/s, expected. use cameras, designed for, work designed.",2013-12-14,359,0,0,0,0,0.0,0.0,-0.235,neg
1267,D. Corbishley,5.0,i've zune music player memory card could copy cd library play samsung galaxy 4. forget many least 400 thousand songs. beat paying network charge move next phone moving,2013-12-27,346,0,0,0,0,0.0,0.0,0.128,pos
1268,D. Craig,5.0,simple format use. excellent storage. buy along 3.0 compatible usb microcard adapter downloading 3.0 capable computer. make fast hassle free transfer pictures.,2014-01-13,329,0,0,0,0,0.0,0.0,0.8625,pos
1269,D. Crider,5.0,"bought problem microsd card working surface rt. plugged in, worked fine. done full test performance, appears work expected speed.",2013-10-07,427,0,0,0,0,0.0,0.0,-0.2263,neg
1270,D Crouch,5.0,bought son's samsung galaxy mp3 android 2.3 gingerbread replace class 4 8gb. thrilled noticeable difference performance device.,2013-01-31,676,0,0,0,0,0.0,0.0,0.4404,pos
1271,"D.De Stef ""Mxrider""",1.0,"bought two card tablets. first format, bought another gskill class 10. second worked, 3-5 minutes. error, freeze. thought may tablets. however, gskill worked called amazon. customer service excellent. problem one shipped two new card saturday delivery. amazon numerous problem particular hesitate call return get card seems trouble surprised initial review removed leaving another return. ii tried everything fix fat32 ntfs newest definitely damaged card hesitate call customer service!",2013-08-01,494,0,0,0,0,0.0,0.0,-0.7424,neg
1272,DD,4.0,using samsung galaxy smart phone find issue. easy access,2013-12-19,354,0,0,0,0,0.0,0.0,0.6808,pos
1273,"D ""D""",5.0,recently upgrade cellphone samsung galaxy note ii super phone larger memory card. unit much better could've every ask performance reliability.,2012-08-12,848,0,0,0,0,0.0,0.0,0.7783,pos
